facility_id,name,address_city,address_state,address_zip,latitude,longitude,facility_type,specialties,data_completeness,searchable_text,ext_has_icu,ext_icu_beds,ext_has_emergency,ext_has_24_7,ext_has_surgery,ext_has_dialysis,ext_has_oncology,ext_has_neonatal_icu,ext_has_mental_health,ext_has_trauma_centre,ext_inferred_doctors,ext_extracted_equipment,ext_extracted_procedures,ext_operational_notes,ext_confidence,ext_source_sentence,trust_trust_completeness,trust_trust_consistency,trust_trust_verifiability,trust_trust_recency,trust_trust_digital,trust_contradictions,trust_source_sentence,trust_score,contradictions,source_sentence,extraction_error
00000,1000 Smiles Dental Clinic,Hyderabad,Telangana,500013,17.39773941,78.48268127,clinic,['familyMedicine | periodontics | endodontics | dentistry | aestheticDentistry'],0.625,"1000 Smiles Dental Clinic Dental clinic offering RCT (Root Canal) and Laser Dentistry in Amberpet, Hyderabad. Has been in operation for 10 years | Dental clinic familyMedicine | periodontics | endodontics | dentistry | aestheticDentistry Performs root canal therapy (RCT) | Provides laser dentistry services Hyderabad Telangana Performs root canal therapy (RCT) Provides laser dentistry services",False,,False,,False,False,False,False,False,False,,[],"['Performs root canal therapy (RCT)', 'Provides laser dentistry services']",Has been in operation for 10 years,medium,"Dental clinic offering RCT (Root Canal) and Laser Dentistry in Amberpet, Hyderabad.",15.6,30.0,6.0,2.0,2.5,[],"Dental clinic offering RCT (Root Canal) and Laser Dentistry in Amberpet, Hyderabad.",56.1,[],"Dental clinic offering RCT (Root Canal) and Laser Dentistry in Amberpet, Hyderabad.",
00001,108 Eye And Heath Centre,Noida,Uttar Pradesh,201307,28.57222366,77.36903381,clinic,['pediatricsAndStrabismusOphthalmology | ophthalmology | refractiveSurgeryOphthalmology | familyMedicine | eyeTraumaAndEmergencyEyeCare | cataractAndAnteriorSegmentSurgery | uveitisOphthalmology | retinaAndVitreoretinalOphthalmology | glaucomaOphthalmology | neuroOphthalmology'],0.75,"108 Eye And Heath Centre 108 Eye And Health Centre provides you the best range of treatments, treatment services, pharmaceutical injection, veterinary drugs & our services with effective & timely delivery. Neuro Ophthalmology services offered | Outpatient ophthalmology clinic | Has 1 ophthalmologist/eye surgeon on staff | Dr. B K Varma is an ophthalmologist/eye surgeon with 17 years of experience | Retina Treatment Services offered | Paediatric Ophthalmology services offered | Employs experienced ophthalmologists | Uses latest equipment and world-standard technologies in eye care | Provides comprehensive eye care services under one roof pediatricsAndStrabismusOphthalmology | ophthalmology | refractiveSurgeryOphthalmology | familyMedicine | eyeTraumaAndEmergencyEyeCare | cataractAndAnteriorSegmentSurgery | uveitisOphthalmology | retinaAndVitreoretinalOphthalmology | glaucomaOphthalmology | neuroOphthalmology Treats Squint | Glaucoma management | Offers Paediatric Ophthalmology | Performs cataract surgery | General eye check-up | Manages Uveitis | Cataract surgery | LASIK | IPCL | Pre-LASIK tests | Provides Basic Eye Check Up | Offers Retina Treatment Services | Offers Glaucoma Treatment | Offers Neuro Ophthalmology | ICL | Post-LASIK care | Squint correction | Retina treatment | Pediatric ophthalmology services Noida Uttar Pradesh Treats Squint Glaucoma management Offers Paediatric Ophthalmology Performs cataract surgery General eye check-up Manages Uveitis Cataract surgery LASIK IPCL Pre-LASIK tests Provides Basic Eye Check Up Offers Retina Treatment Services Offers Glaucoma Treatment Offers Neuro Ophthalmology ICL Post-LASIK care Squint correction Retina treatment Pediatric ophthalmology services",False,,False,False,True,False,False,False,False,False,1.0,[],"['Treats Squint', 'Glaucoma management', 'Offers Paediatric Ophthalmology', 'Performs cataract surgery', 'General eye check-up', 'Manages Uveitis', 'Cataract surgery', 'LASIK', 'IPCL', 'Pre-LASIK tests', 'Provides Basic Eye Check Up', 'Offers Retina Treatment Services', 'Offers Glaucoma Treatment', 'Offers Neuro Ophthalmology', 'ICL', 'Post-LASIK care', 'Squint correction', 'Retina treatment', 'Pediatric ophthalmology services']",,high,Capability: Neuro Ophthalmology services offered | Outpatient ophthalmology clinic | Has 1 ophthalmologist/eye surgeon on staff | Dr. B K Varma is an ophthalmologist/eye surgeon with 17 years of experience | Retina Treatment Services offered | Paediatric Ophthalmology services offered | Employs experienced ophthalmologists | Uses latest equipment and world-standard technologies in eye care | Provides comprehensive eye care services under one roof,18.8,18.0,25.0,2.0,7.5,['Claims surgery capability but no anaesthesiologist mentioned'],Capability: Neuro Ophthalmology services offered | Outpatient ophthalmology clinic | Has 1 ophthalmologist/eye surgeon on staff | Dr. B K Varma is an ophthalmologist/eye surgeon with 17 years of experience | Retina Treatment Services offered | Paediatric Ophthalmology services offered | Employs experienced ophthalmologists | Uses latest equipment and world-standard technologies in eye care | Provides comprehensive eye care services under one roof,71.3,['Claims surgery capability but no anaesthesiologist mentioned'],Capability: Neuro Ophthalmology services offered | Outpatient ophthalmology clinic | Has 1 ophthalmologist/eye surgeon on staff | Dr. B K Varma is an ophthalmologist/eye surgeon with 17 years of experience | Retina Treatment Services offered | Paediatric Ophthalmology services offered | Employs experienced ophthalmologists | Uses latest equipment and world-standard technologies in eye care | Provides comprehensive eye care services under one roof,
00002,14 Stars Dental,Aurangabad,Uttar Pradesh,281001,27.45603371,77.70436096,dentist,['dentistry | generalDentistry'],0.5,"14 Stars Dental At 14 Stars Dental, we are dedicated to our patients in providing superior dental care at affordable prices. Our goal is to help our patients look and feel better. General dentistry services dentistry | generalDentistry Aurangabad Uttar Pradesh",,,,,,,,,,,,[],[],,insufficient_data,"At 14 Stars Dental, we are dedicated to our patients in providing superior dental care at affordable prices.",12.5,30.0,0.0,2.0,2.5,[],"At 14 Stars Dental, we are dedicated to our patients in providing superior dental care at affordable prices.",47.0,[],"At 14 Stars Dental, we are dedicated to our patients in providing superior dental care at affordable prices.",
00004,3 E EYE CARE,Ahmedabad,Gujarat,380014,23.00222206,72.5178299,clinic,['familyMedicine'],0.375,3 E EYE CARE Efficient Eye Care with Human Touch! nan familyMedicine Ahmedabad Gujarat,,,,,,,,,,,,[],[],,insufficient_data,Capability:  nan,9.4,30.0,0.0,2.0,10.0,[],Capability:  nan,51.4,[],Capability:  nan,
00007,32 Dental Care,Amritsar,Punjab,143001,31.68192101,74.86514282,clinic,['familyMedicine | generalDentistry | prosthodontics | dentoalveolarSurgery | periodontics | oralAndMaxillofacialSurgery | dentistry | endodontics'],0.625,"32 Dental Care 32 Dental Care - Nursing Homes / Clinics / Hospitals of dental implant service, general dentistry treatment services & teeth cleaning services in Amritsar, Punjab. Owner: Dr Prashant Nanda Has a dental surgeon on staff with 9 years of experience. | Dr. Prashant Nanda holds BDS from Sri Guru Ram Das Institute of Dental Sciences Research, 2015 | Dr. Prashant Nanda is registered with Punjab State Dental Council (Registration 13860-A, 2016) | Specializes as Dentist, Cosmetic/Aesthetic Dentist, Implantologist, and Dental Surgeon | Outpatient dental clinic | Has Dr. Prashant Nanda with 10 years of overall experience (9 years as specialist) | Dr. Prashant Nanda is a member of the Dental Council of India and Indian Dental Association | Offers in-clinic visits | Dr. Prashant Nanda practices at 32 Dental Care Clinc in Loharka Kalan, Amritsar familyMedicine | generalDentistry | prosthodontics | dentoalveolarSurgery | periodontics | oralAndMaxillofacialSurgery | dentistry | endodontics Performs dental restoration | General Dentistry Treatment Services | Performs wisdom tooth extraction | Offers ceramic veneers / crowns | Performs full mouth rehabilitation | Offers smile design | Provides children's dentistry | Root Coverage Surgery Services | Performs impaction / impacted tooth extraction | Offers implant prosthesis | Teeth Cleaning Services | Performs re-root canal treatment | Dental Implant Service | Periodontal Dental Treatment Services | Outpatient dental clinic Amritsar Punjab Performs dental restoration General Dentistry Treatment Services Performs wisdom tooth extraction Offers ceramic veneers / crowns Performs full mouth rehabilitation Offers smile design Provides children's dentistry Root Coverage Surgery Services Performs impaction / impacted tooth extraction Offers implant prosthesis Teeth Cleaning Services Performs re-root canal treatment Dental Implant Service Periodontal Dental Treatment Services Outpatient dental clinic",False,,False,False,False,False,False,False,False,False,,[],"['Performs dental restoration', 'General Dentistry Treatment Services', 'Performs wisdom tooth extraction', 'Offers ceramic veneers / crowns', 'Performs full mouth rehabilitation', 'Offers smile design', ""Provides children's dentistry"", 'Root Coverage Surgery Services', 'Performs impaction / impacted tooth extraction', 'Offers implant prosthesis', 'Teeth Cleaning Services', 'Performs re-root canal treatment', 'Dental Implant Service', 'Periodontal Dental Treatment Services', 'Outpatient dental clinic']",,high,Capability: Has a dental surgeon on staff with 9 years of experience.,15.6,30.0,25.0,2.0,7.5,[],Capability: Has a dental surgeon on staff with 9 years of experience.,80.1,[],Capability: Has a dental surgeon on staff with 9 years of experience.,
00008,32 Dental Care Multispeciality Dental Clinic,Chidambaram,Tamil Nadu,608501,11.5095892,79.70980835,clinic,['dentistry | familyMedicine'],0.375,32 Dental Care Multispeciality Dental Clinic nan Multispeciality dental clinic dentistry | familyMedicine Chidambaram Tamil Nadu,,,,,,,,,,,,[],[],,insufficient_data,Description: nan,9.4,30.0,0.0,2.0,2.5,[],Description: nan,43.9,[],Description: nan,
00009,32 Dental Focus,Tiruppur,Tamil Nadu,641604,11.08645248,77.34620667,dentist,['dentistry | periodontics'],0.5,32 Dental Focus 32 Dental Focus aims in providing our patients with the best high class dental treatment with advanced evidence based technologies. Our specialized dental team of doctors provide you a complete dental treatment under one roof in a painless way. Specializes in periodontics | Uses advanced evidence-based technologies | Offers complete dental treatment under one roof | Maintains a specialized dental team of doctors | Provides painless dental treatment | In its 6th year of operation dentistry | periodontics Tiruppur Tamil Nadu,False,,False,,False,False,False,False,False,False,,[],[],,insufficient_data,32 Dental Focus aims in providing our patients with the best high class dental treatment with advanced evidence based technologies.,12.5,30.0,0.0,2.0,2.5,[],32 Dental Focus aims in providing our patients with the best high class dental treatment with advanced evidence based technologies.,47.0,[],32 Dental Focus aims in providing our patients with the best high class dental treatment with advanced evidence based technologies.,
00010,32 Dental Spa,Pune,Maharashtra,411045,18.54219437,73.82818604,dentist,['endodontics | dentistry | cosmeticDentistry | familyMedicine'],0.75,"32 Dental Spa Dental institute providing comprehensive services for dental implants, laser treatment, and cosmetic dentistry. Outpatient dental care | Specializes in laser dentistry | Has operated for 12 years in healthcare | Dentist with MDS on staff | Has 10 years of operation | Located in Pune, Maharashtra, India | Specializes in dental implants | Listed as a top endodontics clinic in Shivajinagar | Specializes in cosmetic dentistry | Outpatient dental services | Located in Baner, Pune, Maharashtra | Endodontics clinic located in Shivajinagar, Pune endodontics | dentistry | cosmeticDentistry | familyMedicine Provides dental implant treatment | Offers dental implant procedures | Provides laser dental treatment | Offers cosmetic dentistry | Provides cosmetic dentistry services | Offers specialised dental treatment | Offers routine dental procedure | Offers dental laser treatments On-site dental X-ray centres Pune Maharashtra On-site dental X-ray centres Provides dental implant treatment Offers dental implant procedures Provides laser dental treatment Offers cosmetic dentistry Provides cosmetic dentistry services Offers specialised dental treatment Offers routine dental procedure Offers dental laser treatments",False,,False,False,False,False,False,False,False,False,,['On-site dental X-ray centres'],"['Provides dental implant treatment', 'Offers dental implant procedures', 'Provides laser dental treatment', 'Offers cosmetic dentistry', 'Provides cosmetic dentistry services', 'Offers specialised dental treatment', 'Offers routine dental procedure', 'Offers dental laser treatments']",,high,"Capability:  Outpatient dental care | Specializes in laser dentistry | Has operated for 12 years in healthcare | Dentist with MDS on staff | Has 10 years of operation | Located in Pune, Maharashtra, India | Specializes in dental implants | Listed as a top endodontics clinic in Shivajinagar | Specializes in cosmetic dentistry | Outpatient dental services | Located in Baner, Pune, Maharashtra | Endodontics clinic located in Shivajinagar, Pune",18.8,30.0,25.0,2.0,7.5,[],"Capability:  Outpatient dental care | Specializes in laser dentistry | Has operated for 12 years in healthcare | Dentist with MDS on staff | Has 10 years of operation | Located in Pune, Maharashtra, India | Specializes in dental implants | Listed as a top endodontics clinic in Shivajinagar | Specializes in cosmetic dentistry | Outpatient dental services | Located in Baner, Pune, Maharashtra | Endodontics clinic located in Shivajinagar, Pune",83.3,[],"Capability:  Outpatient dental care | Specializes in laser dentistry | Has operated for 12 years in healthcare | Dentist with MDS on staff | Has 10 years of operation | Located in Pune, Maharashtra, India | Specializes in dental implants | Listed as a top endodontics clinic in Shivajinagar | Specializes in cosmetic dentistry | Outpatient dental services | Located in Baner, Pune, Maharashtra | Endodontics clinic located in Shivajinagar, Pune",
00011,32 Diamonds Smile,Malviya Nagar,Delhi,110017,28.53078651,77.22040558,clinic,['endodontics | pediatricDentistry | familyMedicine'],0.625,32 Diamonds Smile nan Dental clinic providing outpatient dental care | Specializes in root canal therapy | Specializes in cosmetic tooth reshaping endodontics | pediatricDentistry | familyMedicine Tooth reshaping is offered at 32 Diamonds Smile | Root canal treatment (RCT) is offered at 32 Diamonds Smile Dental chair with overhead operatory light Malviya Nagar Delhi Dental chair with overhead operatory light Tooth reshaping is offered at 32 Diamonds Smile Root canal treatment (RCT) is offered at 32 Diamonds Smile,False,,False,,False,False,False,False,False,False,,['Dental chair with overhead operatory light'],"['Tooth reshaping is offered at 32 Diamonds Smile', 'Root canal treatment (RCT) is offered at 32 Diamonds Smile']",,medium,Capability:  Dental clinic providing outpatient dental care | Specializes in root canal therapy | Specializes in cosmetic tooth reshaping,15.6,30.0,9.0,2.0,10.0,[],Capability:  Dental clinic providing outpatient dental care | Specializes in root canal therapy | Specializes in cosmetic tooth reshaping,66.6,[],Capability:  Dental clinic providing outpatient dental care | Specializes in root canal therapy | Specializes in cosmetic tooth reshaping,
00012,32 Gems Dental Clinic,Faridabad,Haryana,121005,28.35308838,77.2971344,clinic,['familyMedicine | dentistry | orthodontics'],0.625,"32 Gems Dental Clinic Finest Dental Clinic in Faridabad. Located in Faridabad, 32 Gems Dental Clinic welcomes all patients seeking professional and dedicated dental care. We cater to patients of all ages and take great pleasure in making your dental care experience enjoyable and as comfortable as possible. We provide high-quality dental care services in our relaxing, modern clinic. We use the latest dental technology, state-of-the-art facilities, and our clinicians have achieved the highest level of generalist dental education, with many also specialising in orthodontics and dental implants. Amenities include parking, debit & credit cards accepted, and by appointment only. Opening hours: Sunday Closed; Monday–Friday 9:00 AM–7:00 PM; Saturday Closed. Clinicians have achieved the highest level of generalist dental education, with many specializing in orthodontics and dental implants | Uses market-leading products for dental procedures | Consultation rooms are equipped with state-of-the-art facilities familyMedicine | dentistry | orthodontics Dental examination with classic cleaning | Dental examination | Child dental examination | Adult dental examination Faridabad Haryana Dental examination with classic cleaning Dental examination Child dental examination Adult dental examination",False,,False,False,False,False,False,False,False,False,,[],"['Dental examination with classic cleaning', 'Dental examination', 'Child dental examination', 'Adult dental examination']",Sunday Closed; Monday–Friday 9:00 AM–7:00 PM; Saturday Closed.,high,"We provide high-quality dental care services in our relaxing, modern clinic.",15.6,30.0,12.0,2.0,5.0,[],"We provide high-quality dental care services in our relaxing, modern clinic.",64.6,[],"We provide high-quality dental care services in our relaxing, modern clinic.",
